step |       loss |   ypred0 |   ypred1 |   ypred2 |   ypred3
-------------------------------------------------------------
   0 |   3.163014 |   0.2125 |   0.1918 |  -0.1028 |   0.4364
   1 |   0.698723 |   0.8565 |  -0.5013 |  -0.5033 |   0.5726
   2 |   0.364169 |   0.8788 |  -0.6723 |  -0.6683 |   0.6367
   3 |   0.232572 |   0.8983 |  -0.7280 |  -0.7236 |   0.7319
   4 |   0.168293 |   0.9075 |  -0.7689 |  -0.7634 |   0.7756
   5 |   0.130935 |   0.9137 |  -0.7968 |  -0.7907 |   0.8040
   6 |   0.106778 |   0.9185 |  -0.8172 |  -0.8107 |   0.8242
   7 |   0.089964 |   0.9224 |  -0.8328 |  -0.8261 |   0.8395
   8 |   0.077622 |   0.9257 |  -0.8453 |  -0.8385 |   0.8515
   9 |   0.068194 |   0.9285 |  -0.8555 |  -0.8486 |   0.8612
  10 |   0.060765 |   0.9309 |  -0.8640 |  -0.8571 |   0.8694
  11 |   0.054766 |   0.9331 |  -0.8713 |  -0.8643 |   0.8763
  12 |   0.049824 |   0.9350 |  -0.8776 |  -0.8706 |   0.8822
  13 |   0.045682 |   0.9368 |  -0.8831 |  -0.8761 |   0.8875
  14 |   0.042164 |   0.9384 |  -0.8879 |  -0.8810 |   0.8921
  15 |   0.039138 |   0.9398 |  -0.8923 |  -0.8854 |   0.8962
  16 |   0.036509 |   0.9412 |  -0.8962 |  -0.8893 |   0.8999
  17 |   0.034204 |   0.9425 |  -0.8997 |  -0.8929 |   0.9032
  18 |   0.032167 |   0.9437 |  -0.9029 |  -0.8962 |   0.9063
  19 |   0.030354 |   0.9448 |  -0.9058 |  -0.8992 |   0.9090
-------------------------------------------------------------
 ygt |            |   1.0000 |  -1.0000 |  -1.0000 |   1.0000
