MLP of [Layer of [Neuron(2), Neuron(2), Neuron(2), Neuron(2), Neuron(2), Neuron(2), Neuron(2), Neuron(2), Neuron(2), Neuron(2)], Layer of [Neuron(10), Neuron(10), Neuron(10), Neuron(10), Neuron(10), Neuron(10), Neuron(10), Neuron(10), Neuron(10), Neuron(10)], Layer of [Neuron(10)]]
number of parameters 151
Value(data=0.534313896267972) 0.62
step 0 loss 0.534313896267972, accuracy 62.0%
step 1 loss 0.43799678778989, accuracy 64.0%
step 2 loss 0.38562684321252394, accuracy 67.0%
step 3 loss 0.3505621823730712, accuracy 69.0%
step 4 loss 0.3213966914725466, accuracy 73.0%
step 5 loss 0.28996976548969916, accuracy 77.0%
step 6 loss 0.2664401325691538, accuracy 77.0%
step 7 loss 0.2516755797486166, accuracy 79.0%
step 8 loss 0.24163624473986947, accuracy 79.0%
step 9 loss 0.23425247318902365, accuracy 79.0%
step 10 loss 0.22855061061637374, accuracy 79.0%
step 11 loss 0.22402536477502888, accuracy 79.0%
step 12 loss 0.22034079172611537, accuracy 79.0%
step 13 loss 0.21722940331803842, accuracy 79.0%
step 14 loss 0.21445551608330635, accuracy 79.0%
step 15 loss 0.21177001119069555, accuracy 79.0%
step 16 loss 0.20881733881714262, accuracy 79.0%
step 17 loss 0.2049696239895274, accuracy 82.0%
step 18 loss 0.19939276780139029, accuracy 83.0%
step 19 loss 0.19252809604556892, accuracy 84.0%
step 20 loss 0.18636487822962378, accuracy 84.0%
step 21 loss 0.18118400280203487, accuracy 84.0%
step 22 loss 0.17671410096924714, accuracy 85.0%
step 23 loss 0.1728229196722791, accuracy 86.0%
step 24 loss 0.16944192720473236, accuracy 86.0%
step 25 loss 0.1665354190144537, accuracy 87.0%
step 26 loss 0.16404535643879492, accuracy 87.0%
step 27 loss 0.1618850839713002, accuracy 87.0%
step 28 loss 0.15997416023327043, accuracy 87.0%
step 29 loss 0.1582557578070541, accuracy 87.0%
step 30 loss 0.15669271895232625, accuracy 87.0%
step 31 loss 0.15525981002933473, accuracy 87.0%
step 32 loss 0.15393855287319785, accuracy 87.0%
step 33 loss 0.15271446318367105, accuracy 88.0%
step 34 loss 0.15157563673844476, accuracy 88.0%
step 35 loss 0.15051199837972534, accuracy 88.0%
step 36 loss 0.14951486892848703, accuracy 88.0%
step 37 loss 0.14857668872671045, accuracy 88.0%
step 38 loss 0.1476908233629628, accuracy 88.0%
step 39 loss 0.14685141656735007, accuracy 88.0%
step 40 loss 0.14605327305742485, accuracy 88.0%
step 41 loss 0.14529176226890383, accuracy 88.0%
step 42 loss 0.1445627377733583, accuracy 88.0%
step 43 loss 0.1438624691424729, accuracy 88.0%
step 44 loss 0.14318758412124533, accuracy 88.0%
step 45 loss 0.14253501969665458, accuracy 88.0%
step 46 loss 0.14190198121132713, accuracy 89.0%
step 47 loss 0.14128590917211709, accuracy 89.0%
step 48 loss 0.14068445387984763, accuracy 89.0%
step 49 loss 0.14009545845844945, accuracy 89.0%
step 50 loss 0.13951695125150393, accuracy 89.0%
step 51 loss 0.13894714879570352, accuracy 89.0%
step 52 loss 0.13838447052403285, accuracy 89.0%
step 53 loss 0.13782756577307959, accuracy 89.0%
step 54 loss 0.13727535229079132, accuracy 89.0%
step 55 loss 0.13672706301397727, accuracy 89.0%
step 56 loss 0.13618229437688312, accuracy 89.0%
step 57 loss 0.13564104530918994, accuracy 90.0%
step 58 loss 0.13510373269861808, accuracy 90.0%
step 59 loss 0.13457116860167517, accuracy 91.0%
step 60 loss 0.13404448922632747, accuracy 91.0%
step 61 loss 0.13352503659046797, accuracy 91.0%
step 62 loss 0.13301420842756087, accuracy 91.0%
step 63 loss 0.13251330444528114, accuracy 91.0%
step 64 loss 0.13202340066214277, accuracy 91.0%
step 65 loss 0.13154527528100948, accuracy 91.0%
step 66 loss 0.13107939303334798, accuracy 91.0%
step 67 loss 0.1306259382215377, accuracy 91.0%
step 68 loss 0.13018487685603278, accuracy 91.0%
step 69 loss 0.12975602738585867, accuracy 91.0%
step 70 loss 0.12933912490368818, accuracy 91.0%
step 71 loss 0.12893387107572835, accuracy 91.0%
step 72 loss 0.12853996819245705, accuracy 91.0%
step 73 loss 0.12815713941807644, accuracy 91.0%
step 74 loss 0.1277851387490313, accuracy 91.0%
step 75 loss 0.1274237541742785, accuracy 91.0%
step 76 loss 0.12707280684050057, accuracy 91.0%
step 77 loss 0.12673214818487244, accuracy 91.0%
step 78 loss 0.12640165626696515, accuracy 91.0%
step 79 loss 0.12608123199385132, accuracy 91.0%
step 80 loss 0.12577079558062693, accuracy 91.0%
step 81 loss 0.12547028338032373, accuracy 91.0%
step 82 loss 0.12517964510665852, accuracy 91.0%
step 83 loss 0.12489884142280568, accuracy 91.0%
step 84 loss 0.12462784185286283, accuracy 91.0%
step 85 loss 0.12436662297290732, accuracy 91.0%
step 86 loss 0.12411516684549966, accuracy 91.0%
step 87 loss 0.12387345966976913, accuracy 91.0%
step 88 loss 0.12364149062630701, accuracy 91.0%
step 89 loss 0.12341925090110767, accuracy 91.0%
step 90 loss 0.12320673287574399, accuracy 91.0%
step 91 loss 0.12300392947224247, accuracy 91.0%
step 92 loss 0.1228108336412544, accuracy 91.0%
step 93 loss 0.1226274379816205, accuracy 91.0%
step 94 loss 0.12245373447869272, accuracy 91.0%
step 95 loss 0.12228971434811332, accuracy 91.0%
step 96 loss 0.12213536797133112, accuracy 91.0%
step 97 loss 0.12199068490904891, accuracy 91.0%
step 98 loss 0.12185565397904753, accuracy 91.0%
step 99 loss 0.1217302633854017, accuracy 91.0%
